"nome","memoria"
"PRVHDNBS100","32768"
"PRVHDNBS101","49152"
"PRVHDNBS108","16384"
"PRVHDNBS11","13514"
"PRVHDNBSRECAP01","12288"
"PRVHDNBS10","49152"
"PRVHDNBS102","49152"
"PRVHDNBS103","49152"
"PRVHDNBS104","49152"
"PRVHDNBS105","49152"
"PRVHDNBS106","32768"
"S81PVNBS03HML","32768"
"PRVHDNBS03","16384"
"PRVHDNBS107","12288"
"PRVHDNBS12","16384"
"S81PVNBS09","16354"
"PRVHDNBS10","0"
"PRVHDNBS102","0"
"PRVHDNBS103","0"
"PRVHDNBS104","0"
"PRVHDNBS105","0"
"PRVHDNBS106","0"
"S81PVNBS03HML","0"
"PRVHDNBS100","0"
"PRVHDNBS101","0"
"PRVHDNBS108","0"
"PRVHDNBS11","0"
"PRVHDNBSRECAP01","0"
"PRVHDNBS03","0"
"PRVHDNBS107","0"
"PRVHDNBS12","0"
"S81PVNBS09","0"
